x (µm)	y (µm)	n (1/µm^2)
-13.132	30.016	0
-12.194	30.016	0
-11.256	30.016	0.294600171
-10.318	30.016	0
-9.38	30.016	0
-8.442	30.016	0
-7.504	30.016	0.130170915
-6.566	30.016	0.103852383
-5.628	30.016	0
-4.69	30.016	0
-3.752	30.016	0
-2.814	30.016	0
-1.876	30.016	0.140014592
-0.938	30.016	0.002101079
0	30.016	0
0.938	30.016	0.203684352
1.876	30.016	0.191855327
2.814	30.016	0.204932299
3.752	30.016	0.017186285
4.69	30.016	0
5.628	30.016	0
6.566	30.016	0
7.504	30.016	0.107839659
8.442	30.016	0.135177064
9.38	30.016	0
10.318	30.016	0
11.256	30.016	0
12.194	30.016	0.25611099
13.132	30.016	0.204094858
14.07	30.016	0
15.008	30.016	0.275797417
15.946	30.016	0
16.884	30.016	0.424395833
17.822	30.016	0.176814487
18.76	30.016	0.415287281
19.698	30.016	0.580695676
20.636	30.016	0.295600947
21.574	30.016	0.013122156
22.512	30.016	0.291707573
23.45	30.016	0
-23.45	29.078	0.182520288
-22.512	29.078	0.200990658
-21.574	29.078	0.228715702
-20.636	29.078	0
-19.698	29.078	0
-18.76	29.078	0
-17.822	29.078	0
-16.884	29.078	0.411970198
-15.946	29.078	0.1930828
-15.008	29.078	0
-14.07	29.078	0.406359278
-13.132	29.078	0.038726111
-12.194	29.078	0
-11.256	29.078	0.086915065
-10.318	29.078	0
-9.38	29.078	0.060889931
-8.442	29.078	0
-7.504	29.078	0
-6.566	29.078	0
-5.628	29.078	0
-4.69	29.078	0
-3.752	29.078	0
-2.814	29.078	0.41794294
-1.876	29.078	0.085532479
-0.938	29.078	0.13737599
0	29.078	0.418962898
0.938	29.078	0.197685395
1.876	29.078	0.359923025
2.814	29.078	0
3.752	29.078	0
4.69	29.078	0.078182581
5.628	29.078	0.393487251
6.566	29.078	0.153018268
7.504	29.078	0
8.442	29.078	0
9.38	29.078	0
10.318	29.078	0
11.256	29.078	0.207645879
12.194	29.078	0
13.132	29.078	0.010956496
14.07	29.078	0.658624167
15.008	29.078	0.192921775
15.946	29.078	0
16.884	29.078	0.23524233
17.822	29.078	0
18.76	29.078	0.14668908
19.698	29.078	0.258477988
20.636	29.078	1.032958779
21.574	29.078	0.033325671
22.512	29.078	0.01999521
23.45	29.078	0
-23.45	28.14	0
-22.512	28.14	0
-21.574	28.14	0
-20.636	28.14	0
-19.698	28.14	0.146403433
-18.76	28.14	0
-17.822	28.14	0
-16.884	28.14	0.117891474
-15.946	28.14	0.178451968
-15.008	28.14	0.059859848
-14.07	28.14	0
-13.132	28.14	0
-12.194	28.14	0
-11.256	28.14	0.459005274
-10.318	28.14	0.222717488
