T/Tc       	 d(T/Tc)    	 f2      	 d(f2)
0.844206053	 0.045096320	 0.547604	 0.11833700
1.000308815	 0.067467060	 0.016756	 0.00937185
1.215773541	 0.084881975	 0       	 0         
0.990300956	 0.057947982	 0.160042	 0.00803716
1.481313518	 0.062367741	 0       	 0         
0.660718427	 0.034216817	 0.573553	 0.24610700
0.905779421	 0.062709223	 0.370427	 0.07565070
1.167108456	 0.043674051	 0       	 0         
0.519321185	 0.033313108	 0.895662	 0.11103800
