T/Tc       	 d(T/Tc)    	 fsum   	 d(fsum)
0.844206053	 0.045096320	 1.04965	 0.0867877
1.000308815	 0.067467069	 1.18907	 0.1080683
1.215773541	 0.084881975	 1.08139	 0.143775
0.990300956	 0.057947982	 1.05721	 0.107031
1.481313518	 0.062367741	 1.04989	 0.116142
0.660718427	 0.034216817	 0.92640	 0.114694
0.905779421	 0.062709223	 1.03111	 0.148763
1.167108456	 0.043674051	 0.94121	 0.26043
0.519321185	 0.033313108	 1.00710	 0.154871


