k	e	err(e)
Å-1	meV	meV
0.572	0.8961	--
0.574	0.8997	--
0.576	0.9008	--
0.578	0.9021	--
0.580	0.9052	--
0.582	0.9077	--
0.584	0.9108	--
0.586	0.9113	--
0.588	0.9145	--
0.590	0.9177	--
0.592	0.9204	--
0.594	0.9212	--
0.596	0.9231	--
0.598	0.9253	--
0.600	0.9279	0.0016
0.602	0.9308	--
0.604	0.9340	--
0.606	0.9365	--
0.608	0.9367	--
0.610	0.9390	--
0.612	0.9406	--
0.614	0.9434	--
0.616	0.9462	--
0.618	0.9488	--
0.620	0.9506	--
0.622	0.9536	--
0.624	0.9553	--
0.626	0.9583	--
0.628	0.9596	--
0.630	0.9612	--
0.632	0.9641	--
0.634	0.9654	--
0.636	0.9673	--
0.638	0.9690	--
0.640	0.9715	--
0.642	0.9733	--
0.644	0.9746	--
0.646	0.9764	--
0.648	0.9791	--
0.650	0.9812	--
0.652	0.9839	--
0.654	0.9853	--
0.656	0.9873	--
0.658	0.9887	--
0.660	0.9901	--
0.662	0.9919	--
0.664	0.9953	--
0.666	0.9973	--
0.668	0.9985	--
0.670	1.0004	--
0.672	1.0025	--
0.674	1.0048	--
0.676	1.0061	--
0.678	1.0084	--
0.680	1.0105	--
0.682	1.0122	--
0.684	1.0139	--
0.686	1.0155	--
0.688	1.0164	--
0.690	1.0176	--
0.692	1.0197	--
0.694	1.0216	--
0.696	1.0238	--
0.698	1.0257	--
0.700	1.0267	0.0018
0.702	1.0295	--
0.704	1.0313	--
0.706	1.0323	--
0.708	1.0336	--
0.710	1.0360	--
0.712	1.0370	--
0.714	1.0393	--
0.716	1.0412	--
0.718	1.0415	--
0.720	1.0440	--
0.722	1.0461	--
0.724	1.0479	--
0.726	1.0490	--
0.728	1.0503	--
0.730	1.0525	--
0.732	1.0542	--
0.734	1.0554	--
0.736	1.0566	--
0.738	1.0580	--
0.740	1.0594	--
0.742	1.0611	--
0.744	1.0625	--
0.746	1.0637	--
0.748	1.0653	--
0.750	1.0667	--
0.752	1.0684	--
0.754	1.0699	--
0.756	1.0714	--
0.758	1.0724	--
0.760	1.0744	--
0.762	1.0743	--
0.764	1.0776	--
0.766	1.0786	--
0.768	1.0810	--
0.770	1.0814	--
0.772	1.0828	--
0.774	1.0845	--
0.776	1.0861	--
0.778	1.0868	--
0.780	1.0880	--
0.782	1.0894	--
0.784	1.0910	--
0.786	1.0921	--
0.788	1.0934	--
0.790	1.0942	--
0.792	1.0959	--
0.794	1.0975	--
0.796	1.0981	--
0.798	1.0995	--
0.800	1.1002	0.0019
0.802	1.1022	--
0.804	1.1034	--
0.806	1.1041	--
0.808	1.1062	--
0.810	1.1073	--
0.812	1.1074	--
0.814	1.1101	--
0.816	1.1103	--
0.818	1.1117	--
0.820	1.1129	--
0.822	1.1138	--
0.824	1.1143	--
0.826	1.1162	--
0.828	1.1170	--
0.830	1.1189	--
0.832	1.1192	--
0.834	1.1209	--
0.836	1.1204	--
0.838	1.1233	--
0.840	1.1233	--
0.842	1.1249	--
0.844	1.1247	--
0.846	1.1268	--
0.848	1.1276	--
0.850	1.1280	--
0.852	1.1300	--
0.854	1.1311	--
0.856	1.1322	--
0.858	1.1340	--
0.860	1.1335	--
0.862	1.1351	--
0.864	1.1361	--
0.866	1.1367	--
0.868	1.1366	--
0.870	1.1385	--
0.872	1.1399	--
0.874	1.1393	--
0.876	1.1398	--
0.878	1.1417	--
0.880	1.1425	--
0.882	1.1437	--
0.884	1.1444	--
0.886	1.1453	--
0.888	1.1456	--
0.890	1.1465	--
0.892	1.1474	--
0.894	1.1492	--
0.896	1.1486	--
0.898	1.1515	--
0.900	1.1518	0.0020
0.902	1.1517	--
0.904	1.1529	--
0.906	1.1544	--
0.908	1.1543	--
0.910	1.1552	--
0.912	1.1557	--
0.914	1.1566	--
0.916	1.1564	--
0.918	1.1581	--
0.920	1.1579	--
0.922	1.1588	--
0.924	1.1601	--
0.926	1.1608	--
0.928	1.1602	--
0.930	1.1617	--
0.932	1.1624	--
0.934	1.1639	--
0.936	1.1643	--
0.938	1.1640	--
0.940	1.1647	--
0.942	1.1662	--
0.944	1.1658	--
0.946	1.1671	--
0.948	1.1679	--
0.950	1.1678	--
0.952	1.1687	--
0.954	1.1696	--
0.956	1.1693	--
0.958	1.1709	--
0.960	1.1715	--
0.962	1.1717	--
0.964	1.1733	--
0.966	1.1743	--
0.968	1.1733	--
0.970	1.1731	--
0.972	1.1745	--
0.974	1.1750	--
0.976	1.1751	--
0.978	1.1759	--
0.980	1.1774	--
0.982	1.1766	--
0.984	1.1767	--
0.986	1.1789	--
0.988	1.1786	--
0.990	1.1791	--
0.992	1.1805	--
0.994	1.1800	--
0.996	1.1802	--
0.998	1.1801	--
1.000	1.1809	0.0020
1.002	1.1814	--
1.004	1.1812	--
1.006	1.1817	--
1.008	1.1831	--
1.010	1.1826	--
1.012	1.1830	--
1.014	1.1837	--
1.016	1.1837	--
1.018	1.1842	--
1.020	1.1838	--
1.022	1.1848	--
1.024	1.1846	--
1.026	1.1843	--
1.028	1.1851	--
1.030	1.1850	--
1.032	1.1850	--
1.034	1.1868	--
1.036	1.1864	--
1.038	1.1870	--
1.040	1.1865	--
1.042	1.1867	--
1.044	1.1878	--
1.046	1.1881	--
1.048	1.1875	--
1.050	1.1882	--
1.052	1.1882	--
1.054	1.1885	--
1.056	1.1882	--
1.058	1.1893	--
1.060	1.1901	--
1.062	1.1892	--
1.064	1.1891	--
1.066	1.1892	--
1.068	1.1896	--
1.070	1.1899	--
1.072	1.1896	--
1.074	1.1901	--
1.076	1.1894	--
1.078	1.1903	--
1.080	1.1905	--
1.082	1.1897	--
1.084	1.1894	--
1.086	1.1904	--
1.088	1.1908	--
1.090	1.1903	--
1.092	1.1903	--
1.094	1.1903	--
1.096	1.1903	--
1.098	1.1903	--
1.100	1.1907	0.0020
1.102	1.1903	--
1.104	1.1902	--
1.106	1.1905	--
1.108	1.1912	--
1.110	1.1907	--
1.112	1.1908	--
1.114	1.1914	--
1.116	1.1906	--
1.118	1.1898	--
1.120	1.1903	--
1.122	1.1912	--
1.124	1.1905	--
1.126	1.1906	--
1.128	1.1902	--
1.130	1.1902	--
1.132	1.1895	--
1.134	1.1903	--
1.136	1.1900	--
1.138	1.1898	--
1.140	1.1897	--
1.142	1.1899	--
1.144	1.1887	--
1.146	1.1883	--
1.148	1.1896	--
1.150	1.1884	--
1.152	1.1883	--
1.154	1.1885	--
1.156	1.1885	--
1.158	1.1874	--
1.160	1.1876	--
1.162	1.1876	--
1.164	1.1879	--
1.166	1.1870	--
1.168	1.1874	--
1.170	1.1862	--
1.172	1.1872	--
1.174	1.1860	--
1.176	1.1853	--
1.178	1.1852	--
1.180	1.1853	--
1.182	1.1850	--
1.184	1.1849	--
1.186	1.1845	--
1.188	1.1846	--
1.190	1.1840	--
1.192	1.1833	--
1.194	1.1830	--
1.196	1.1816	--
1.198	1.1820	--
1.200	1.1814	0.0020
1.202	1.1809	--
1.204	1.1814	--
1.206	1.1807	--
1.208	1.1795	--
1.210	1.1798	--
1.212	1.1789	--
1.214	1.1786	--
1.216	1.1792	--
1.218	1.1778	--
1.220	1.1778	--
1.222	1.1765	--
1.224	1.1766	--
1.226	1.1759	--
1.228	1.1760	--
1.230	1.1751	--
1.232	1.1744	--
1.234	1.1743	--
1.236	1.1743	--
1.238	1.1728	--
1.240	1.1723	--
1.242	1.1725	--
1.244	1.1725	--
1.246	1.1714	--
1.248	1.1714	--
1.250	1.1698	--
1.252	1.1700	--
1.254	1.1689	--
1.256	1.1681	--
1.258	1.1680	--
1.260	1.1675	--
1.262	1.1664	--
1.264	1.1660	--
1.266	1.1652	--
1.268	1.1645	--
1.270	1.1650	--
1.272	1.1636	--
1.274	1.1633	--
1.276	1.1616	--
1.278	1.1608	--
1.280	1.1613	--
1.282	1.1611	--
1.284	1.1596	--
1.286	1.1588	--
1.288	1.1582	--
1.290	1.1567	--
1.292	1.1567	--
1.294	1.1558	--
1.296	1.1543	--
1.298	1.1544	--
1.300	1.1542	0.0020
1.302	1.1533	--
1.304	1.1517	--
1.306	1.1508	--
1.308	1.1504	--
1.310	1.1507	--
1.312	1.1494	--
1.314	1.1487	--
1.316	1.1477	--
1.318	1.1455	--
1.320	1.1454	--
1.322	1.1450	--
1.324	1.1432	--
1.326	1.1429	--
1.328	1.1424	--
1.330	1.1420	--
1.332	1.1407	--
1.334	1.1397	--
1.336	1.1391	--
1.338	1.1383	--
1.340	1.1376	--
1.342	1.1368	--
1.344	1.1348	--
1.346	1.1341	--
1.348	1.1328	--
1.350	1.1310	--
1.352	1.1305	--
1.354	1.1295	--
1.356	1.1283	--
1.358	1.1284	--
1.360	1.1267	--
1.362	1.1253	--
1.364	1.1243	--
1.366	1.1235	--
1.368	1.1220	--
1.370	1.1217	--
1.372	1.1207	--
1.374	1.1198	--
1.376	1.1196	--
1.378	1.1178	--
1.380	1.1172	--
