k	e	err(e)
Å-1	meV	meV
2.508	1.3757	--
2.510	1.3770	--
2.512	1.3784	--
2.514	1.3801	--
2.516	1.3812	--
2.518	1.3826	--
2.520	1.3832	--
2.522	1.3842	--
2.524	1.3857	--
2.526	1.3865	--
2.528	1.3874	--
2.530	1.3884	--
2.532	1.3908	--
2.534	1.3922	--
2.536	1.3940	--
2.538	1.3945	--
2.540	1.3943	--
2.542	1.3942	--
2.544	1.3967	--
2.546	1.3982	--
2.548	1.3985	--
2.550	1.3985	--
2.552	1.4001	--
2.554	1.4021	--
2.556	1.4035	--
2.558	1.4042	--
2.560	1.4051	--
2.562	1.4064	--
2.564	1.4076	--
2.566	1.4078	--
2.568	1.4095	--
2.570	1.4110	--
2.572	1.4111	--
2.574	1.4115	--
2.576	1.4121	--
2.578	1.4128	--
2.580	1.4135	--
2.582	1.4141	--
2.584	1.4146	--
2.586	1.4159	--
2.588	1.4167	--
2.590	1.4174	--
2.592	1.4183	--
2.594	1.4193	--
2.596	1.4203	--
2.598	1.4210	--
2.600	1.4214	--
2.602	1.4225	--
2.604	1.4230	--
2.606	1.4232	--
2.608	1.4239	--
2.610	1.4246	--
2.612	1.4260	--
2.614	1.4267	--
2.616	1.4271	--
2.618	1.4276	--
2.620	1.4283	--
2.622	1.4290	--
2.624	1.4297	--
2.626	1.4299	--
2.628	1.4305	--
2.630	1.4309	--
2.632	1.4319	--
2.634	1.4325	--
2.636	1.4331	--
2.638	1.4338	--
2.640	1.4340	--
2.642	1.4343	--
2.644	1.4351	--
2.646	1.4361	--
2.648	1.4369	--
2.650	1.4375	--
2.652	1.4385	--
2.654	1.4400	--
2.656	1.4414	--
2.658	1.4416	--
2.660	1.4420	0.0050
2.662	1.4424	--
2.664	1.4424	--
2.666	1.4449	--
2.668	1.4445	--
2.670	1.4451	--
2.672	1.4459	--
2.674	1.4468	--
2.676	1.4476	--
2.678	1.4489	--
2.680	1.4504	--
2.682	1.4519	--
2.684	1.4533	--
2.686	1.4539	--
2.688	1.4542	--
2.690	1.4545	--
2.692	1.4547	--
2.694	1.4552	--
2.696	1.4558	--
2.698	1.4565	--
2.700	1.4571	--
2.702	1.4574	--
2.704	1.4571	--
2.706	1.4569	--
2.708	1.4567	--
2.710	1.4565	--
2.712	1.4564	--
2.714	1.4563	--
2.716	1.4562	--
2.718	1.4562	--
2.720	1.4561	--
2.722	1.4561	--
2.724	1.4561	--
2.726	1.4561	--
2.728	1.4572	--
2.730	1.4585	--
2.732	1.4598	--
2.734	1.4611	--
2.736	1.4611	--
2.738	1.4611	--
2.740	1.4611	--
2.742	1.4610	--
2.744	1.4612	--
2.746	1.4613	--
2.748	1.4615	--
2.750	1.4617	--
2.752	1.4634	--
2.754	1.4661	--
2.756	1.4689	--
2.758	1.4716	--
2.760	1.4717	--
2.762	1.4717	--
2.764	1.4718	--
2.766	1.4718	--
2.768	1.4722	--
2.770	1.4726	--
2.772	1.4730	--
2.774	1.4734	--
2.776	1.4734	--
2.778	1.4733	--
2.780	1.4733	--
2.782	1.4732	--
2.784	1.4732	--
2.786	1.4731	--
2.788	1.4731	--
2.790	1.4730	--
2.792	1.4735	--
2.794	1.4742	--
2.796	1.4749	--
2.798	1.4756	--
2.800	1.4746	--
2.802	1.4732	--
2.804	1.4718	--
2.806	1.4705	--
2.808	1.4696	--
2.810	1.4691	--
2.812	1.4687	--
2.814	1.4682	--
2.816	1.4687	--
2.818	1.4703	--
2.820	1.4719	--
2.822	1.4735	--
2.824	1.4738	--
2.826	1.4735	--
2.828	1.4732	--
2.830	1.4728	--
2.832	1.4731	--
2.834	1.4737	--
2.836	1.4742	--
2.838	1.4748	--
2.840	1.4752	--
2.842	1.4756	--
2.844	1.4761	--
2.846	1.4765	--
2.848	1.4770	--
2.850	1.4776	0.0066
2.852	1.4781	--
2.854	1.4786	--
2.856	1.4774	--
2.858	1.4762	--
2.860	1.4750	--
2.862	1.4739	--
2.864	1.4743	--
2.866	1.4748	--
2.868	1.4753	--
2.870	1.4757	--
2.872	1.4752	--
2.874	1.4747	--
2.876	1.4743	--
2.878	1.4741	--
2.880	1.4753	--
2.882	1.4765	--
2.884	1.4777	--
2.886	1.4781	--
2.888	1.4775	--
2.890	1.4768	--
2.892	1.4762	--
2.894	1.4756	--
2.896	1.4749	--
2.898	1.4743	--
2.900	1.4737	--
2.902	1.4742	--
2.904	1.4758	--
2.906	1.4774	--
2.908	1.4789	--
2.910	1.4795	--
2.912	1.4802	--
2.914	1.4808	--
2.916	1.4809	--
2.918	1.4793	--
2.920	1.4776	--
2.922	1.4760	--
2.924	1.4746	--
2.926	1.4753	--
2.928	1.4761	--
2.930	1.4768	--
2.932	1.4780	--
2.934	1.4796	--
2.936	1.4812	--
2.938	1.4828	--
2.940	1.4822	--
2.942	1.4816	--
2.944	1.4810	--
2.946	1.4804	--
2.948	1.4811	--
2.950	1.4818	--
2.952	1.4824	--
2.954	1.4827	--
2.956	1.4825	--
2.958	1.4822	--
2.960	1.4820	--
2.962	1.4818	--
2.964	1.4816	--
2.966	1.4814	--
2.968	1.4812	--
2.970	1.4809	--
2.972	1.4807	--
2.974	1.4805	--
2.976	1.4803	--
2.978	1.4801	--
2.980	1.4799	--
2.982	1.4797	--
2.984	1.4794	--
2.986	1.4792	--
2.988	1.4790	--
2.990	1.4788	--
2.992	1.4786	--
2.994	1.4784	--
2.996	1.4781	--
2.998	1.4780	--
3.000	1.4784	0.0080
3.002	1.4787	--
3.004	1.4791	--
3.006	1.4803	--
3.008	1.4822	--
3.010	1.4841	--
3.012	1.4856	--
3.014	1.4860	--
3.016	1.4864	--
3.018	1.4868	--
3.020	1.4867	--
3.022	1.4865	--
3.024	1.4862	--
3.026	1.4860	--
3.028	1.4854	--
3.030	1.4848	--
3.032	1.4843	--
3.034	1.4831	--
3.036	1.4811	--
3.038	1.4791	--
3.040	1.4771	--
3.042	1.4762	--
3.044	1.4768	--
3.046	1.4773	--
3.048	1.4780	--
3.050	1.4793	--
3.052	1.4807	--
3.054	1.4821	--
3.056	1.4824	--
3.058	1.4824	--
3.060	1.4824	--
3.062	1.4820	--
3.064	1.4805	--
3.066	1.4791	--
3.068	1.4777	--
3.070	1.4771	--
3.072	1.4777	--
3.074	1.4783	--
3.076	1.4788	--
3.078	1.4785	--
3.080	1.4783	--
3.082	1.4781	--
3.084	1.4784	--
3.086	1.4792	--
3.088	1.4800	--
3.090	1.4806	--
3.092	1.4811	--
3.094	1.4815	--
3.096	1.4819	--
3.098	1.4801	--
3.100	1.4781	--
3.102	1.4761	--
3.104	1.4745	--
3.106	1.4758	--
3.108	1.4771	--
3.110	1.4784	--
3.112	1.4785	--
3.114	1.4785	--
3.116	1.4786	--
3.118	1.4791	--
3.120	1.4799	--
3.122	1.4807	--
3.124	1.4812	--
3.126	1.4811	--
3.128	1.4809	--
3.130	1.4808	--
3.132	1.4807	--
3.134	1.4806	--
3.136	1.4804	--
3.138	1.4798	--
3.140	1.4791	--
3.142	1.4783	--
3.144	1.4776	--
3.146	1.4773	--
3.148	1.4770	--
3.150	1.4767	--
3.152	1.4795	--
3.154	1.4828	--
3.156	1.4856	--
3.158	1.4850	--
3.160	1.4843	--
3.162	1.4836	--
3.164	1.4829	--
3.166	1.4823	--
3.168	1.4816	--
3.170	1.4819	--
3.172	1.4835	--
3.174	1.4851	--
3.176	1.4858	--
3.178	1.4852	--
3.180	1.4845	--
3.182	1.4842	--
3.184	1.4866	--
3.186	1.4890	--
3.188	1.4897	--
3.190	1.4868	--
3.192	1.4838	--
3.194	1.4809	--
3.196	1.4796	--
3.198	1.4801	--
3.200	1.4805	--
3.202	1.4809	--
3.204	1.4813	--
3.206	1.4817	--
3.208	1.4821	--
3.210	1.4825	--
3.212	1.4829	--
3.214	1.4839	--
3.216	1.4861	--
3.218	1.4884	--
3.220	1.4889	0.0100
3.222	1.4879	--
3.224	1.4870	--
3.226	1.4868	--
3.228	1.4890	--
3.230	1.4912	--
3.232	1.4917	--
3.234	1.4908	--
3.236	1.4898	--
3.238	1.4895	--
3.240	1.4902	--
3.242	1.4910	--
3.244	1.4917	--
3.246	1.4921	--
3.248	1.4925	--
3.250	1.4920	--
3.252	1.4903	--
3.254	1.4887	--
3.256	1.4873	--
3.258	1.4879	--
3.260	1.4884	--
3.262	1.4882	--
3.264	1.4857	--
3.266	1.4831	--
3.268	1.4806	--
3.270	1.4819	--
3.272	1.4842	--
3.274	1.4858	--
3.276	1.4853	--
3.278	1.4847	--
3.280	1.4844	--
3.282	1.4868	--
3.284	1.4892	--
3.286	1.4892	--
3.288	1.4875	--
3.290	1.4859	--
3.292	1.4848	--
3.294	1.4846	--
3.296	1.4844	--
3.298	1.4847	--
3.300	1.4855	--
3.302	1.4862	--
3.304	1.4869	--
3.306	1.4875	--
3.308	1.4881	--
3.310	1.4867	--
3.312	1.4852	--
3.314	1.4836	--
3.316	1.4835	--
3.318	1.4837	--
3.320	1.4839	--
3.322	1.4848	--
3.324	1.4857	--
3.326	1.4873	--
3.328	1.4899	--
3.330	1.4924	--
3.332	1.4892	--
3.334	1.4859	--
3.336	1.4827	--
3.338	1.4831	--
3.340	1.4860	--
3.342	1.4883	--
3.344	1.4891	--
3.346	1.4900	--
3.348	1.4923	--
3.350	1.4954	--
3.352	1.4969	--
3.354	1.4959	--
3.356	1.4949	--
3.358	1.4940	--
3.360	1.4933	--
3.362	1.4926	--
3.364	1.4922	--
3.366	1.4919	--
3.368	1.4916	--
3.370	1.4892	--
3.372	1.4867	--
3.374	1.4843	--
3.376	1.4882	--
3.378	1.4927	--
3.380	1.4944	--
3.382	1.4957	--
3.384	1.4958	--
3.386	1.4947	--
3.388	1.4935	--
3.390	1.4923	--
3.392	1.4912	--
3.394	1.4900	--
3.396	1.4912	--
3.398	1.4926	--
3.400	1.4940	--
3.402	1.4954	--
3.404	1.4963	--
3.406	1.4958	--
3.408	1.4952	--
3.410	1.4947	--
3.412	1.4942	--
3.414	1.4937	--
3.416	1.4932	--
3.418	1.4927	--
3.420	1.4922	--
3.422	1.4918	--
3.424	1.4913	--
3.426	1.4921	--
3.428	1.4928	--
3.430	1.4936	--
3.432	1.4944	--
3.434	1.4951	--
3.436	1.4959	--
3.438	1.4966	--
3.440	1.4974	--
3.442	1.4981	--
3.444	1.4989	0.0120
--	--	--
3.450	1.5012	0.0120
3.500	1.5199	--
3.550	1.5377	--
3.600	1.5538	0.0130
