T/Tc       	 d(T/Tc)    	 c1/cB      	 d(c1/cB)   
0.844206053	 0.045096320	 1.145332889	 0.062036708
1.000308815	 0.067467060	 1.068217272	 0.046433812
1.215773541	 0.084881975	 1.321833182	 0.087142592
0.990300956	 0.057947982	 1.268521843	 0.065451258
1.481313518	 0.062367741	 1.524883529	 0.044025473
0.660718427	 0.034216817	 1.272052611	 0.055854388
0.905779421	 0.062709223	 1.194207678	 0.054336814
1.167108456	 0.043674051	 1.260424985	 0.024612122
0.519321185	 0.033313108	 1.285874970	 0.111969822
