T/Tc       	 d(T/Tc)    	 c2/cB      	 d(c2/cB)   
0.844206053	 0.045096320	 0.779601520	 0.084998427
1.000308815	 0.067467060	 0.322324275	 0.032046834
1.215773541	 0.084881975	 0          	 0          
0.990300956	 0.057947982	 0.578623999	 0.049600627
1.481313518	 0.062367741	 0          	 0          
0.660718427	 0.034216817	 0.872818368	 0.073304699
0.905779421	 0.062709223	 0.726087479	 0.040541827
1.167108456	 0.043674051	 0          	 0          
0.519321185	 0.033313108	 0.919283934	 0.039617587
